1.80, 220.91
3.60, 219.67
5.40, 220.12
7.20, 219.69
9.00, 219.67
10.80, 219.85
12.60, 219.69
14.40, 108.56
16.20, 103.89
19.80, 124.03
21.60, 123.39
23.40, 123.09
25.20, 106.59
27.00, 108.27
28.80, 121.40
30.60, 122.26
32.40, 111.06
34.20, 106.11
37.80, 121.44
39.60, 121.01
41.40, 108.27
43.20, 107.00
45.00, 108.44
46.80, 107.94
48.60, 107.08
50.40, 107.36
52.20, 120.14
55.80, 121.46
57.60, 106.74
59.40, 120.19
61.20, 120.67
63.00, 122.42
64.80, 121.52
66.60, 121.56
68.40, 122.42
70.20, 122.01
73.80, 124.11
75.60, 125.02
77.40, 124.99
79.20, 151.14
81.00, 150.82
82.80, 151.47
84.60, 151.50
86.40, 150.63
88.20, 149.79
91.80, 149.91
93.60, 149.33
95.40, 149.34
97.20, 150.18
99.00, 149.53
100.80, 150.35
102.60, 149.34
104.40, 148.69
106.20, 149.12
109.80, 148.42
111.60, 149.14
113.40, 148.71
115.20, 73.74
117.00, 73.88
118.80, 73.87
120.60, 71.72
122.40, 72.58
124.20, 72.01
127.80, 72.58
129.60, 71.31
131.40, 70.88
133.20, 71.70
135.00, 71.28
136.80, 71.29
138.60, 71.28
140.40, 70.90
142.20, 71.58
145.80, 71.29
147.60, 71.33
149.40, 72.17
151.20, 71.36
153.00, 72.49
154.80, 71.84
156.60, 71.84
158.40, 72.29
160.20, 73.01
163.80, 73.13
165.60, 73.16
167.40, 73.23
169.20, 73.64
171.00, 74.79
172.80, 74.11
174.60, 75.01
176.40, 76.27
