1.8,53.61
3.6,53.18
5.4,53.32
7.2,52.94
9,53.23
10.8,53.23
12.6,53.37
14.4,53.83
16.2,53.42
19.8,53.46
21.6,53.87
23.4,54.62
25.2,54.3
27,54.71
28.8,55.58
30.6,54.81
32.4,54.43
34.2,54.47
37.8,48.57
39.6,48.98
41.4,50.27
43.2,48.71
45,47.4
46.8,47.71
48.6,47.28
50.4,46.87
52.2,47.42
55.8,47.01
57.6,46.44
59.4,47.32
61.2,47.28
63,47.88
64.8,47.85
66.6,73.37
68.4,73.78
70.2,74.02
73.8,74.19
75.6,70.64
77.4,71.09
79.2,69.82
81,70.23
82.8,68.98
84.6,68.1
86.4,68.55
88.2,68.98
91.8,67.71
93.6,68.98
95.4,68.12
97.2,67.71
99,68.17
100.8,67.31
102.6,68.15
104.4,67.73
106.2,41.47
109.8,40.87
111.6,40.05
113.4,40.17
115.2,40.18
117,40.17
118.8,39.19
120.6,40.15
122.4,39.72
124.2,39.74
127.8,39.77
129.6,40.03
131.4,39.38
133.2,39.32
135,40.65
136.8,39.62
138.6,40.1
140.4,40.65
142.2,41.09
145.8,41.01
147.6,53.9
149.4,53.47
151.2,53.03
153,53.04
154.8,53.04
156.6,53.01
158.4,53.53
160.2,53.9
163.8,51.84
165.6,52.67
167.4,45.93
169.2,47.76
171,45.1
172.8,45.07
174.6,44.66
176.4,44.78
178.2,44.78
